codi,LST_zone,SOS,POS,EOS,GSL
0017256AR,1,73.66683341670834,109.20460230115057,362.0410205102551,288.37418709354677
0019304AR,1,66.44822411205602,133.08154077038517,265.97798899449725,199.5297648824412
0019305AR,1,70.52026013006503,106.7983991995998,321.87593796898443,251.3556778389194
0019306AR,1,65.70785392696347,104.39219609804901,278.19409704852427,212.4862431215608
0019315AR,1,73.66683341670834,105.8729364682341,309.65982991495747,235.9929964982491
0019320AR,1,66.81840920460229,208.78439219609803,329.0945472736368,262.2761380690345
0019327AR,1,70.70535267633817,119.93996998499249,255.2426213106553,184.53726863431712
0019335AR,1,71.26063031515757,104.20710355177589,284.1170585292646,212.85642821410704
0019347AR,1,67.18859429714857,112.16608304152075,263.7568784392196,196.568284142071
0019352AR,1,62.93146573286643,110.13006503251626,303.73686843421706,240.80540270135063
0019356AR,1,65.15257628814408,193.9769884942471,322.80140070035014,257.64882441220607
0019358AR,1,66.81840920460229,129.93496748374184,236.73336668334164,169.91495747873935
0019369AR,1,69.03951975987994,104.20710355177589,323.35667833916955,254.3171585792896
0019370AR,1,57.93396698349174,111.05552776388193,327.6138069034517,269.67983991995993
0019377AR,1,61.2656328164082,125.67783891945973,270.97548774387195,209.70985492746377
0019388AR,1,67.18859429714857,120.86543271635817,240.43521760880438,173.2466233116558
0019394AR,1,73.85192596298148,114.9424712356178,269.3096548274137,195.4577288644322
0019402AR,1,53.49174587293646,152.70135067533766,345.1975987993997,291.70585292646325
0019405AR,1,70.70535267633817,104.94747373686842,264.1270635317659,193.4217108554277
0019407AR,1,68.29914957478738,123.08654327163582,323.17158579289645,254.87243621810907
0019410AR,1,45.71785892946473,194.9024512256128,312.9914957478739,267.27363681840916
0019411AR,1,66.26313156578288,201.19559779889943,336.4982491245623,270.2351175587794
0019414AR,1,72.00100050025011,119.01450725362682,272.0860430215107,200.0850425212606
0019423AR,1,65.3376688344172,120.86543271635817,263.5717858929465,198.23411705852928
0019425AR,1,67.74387193596799,115.49774887443722,245.80290145072533,178.05902951475736
0019431AR,1,72.3711855927964,124.93746873436717,255.61280640320157,183.24162081040518
0019435AR,1,68.29914957478738,121.42071035517758,289.1145572786393,220.81540770385195
0019437AR,1,64.41220610305153,110.13006503251626,319.4697348674337,255.0575287643822
0019441AR,1,70.33516758379189,112.16608304152075,291.89094547273635,221.55577788894448
