codi,x_etrs89,y_etrs89,latitud,longitud,cat_nom_ci,Mean_LST,LST_zone,LST_zone_label
0017256AR,434231.615,4584467.251,41.4090627,2.2131063,Celtis australis,26.66043337,1,Coolest
0019304AR,434136.226,4583819.237,41.4032184,2.2120356,Celtis australis,27.18360178,1,Coolest
0019305AR,434077.109,4584268.108,41.4072564,2.2112795,Celtis australis,27.6021306,1,Coolest
0019306AR,434153.795,4583784.757,41.4029093,2.2122495,Celtis australis,27.75782287,1,Coolest
0019312AR,433992.771,4584061.247,41.4053864,2.2102931,Celtis australis,28.22417457,2,Cool
0019313AR,433879.072,4583948.796,41.4043642,2.2089453,Celtis australis,28.37479767,2,Cool
0019315AR,434104.009,4584218.108,41.4068083,2.2116068,Celtis australis,27.49027444,1,Coolest
0019318AR,434385.001,4584526.826,41.4096118,2.2149349,Celtis australis,28.23169387,2,Cool
0019320AR,433944.165,4583826.579,41.4032688,2.2097373,Celtis australis,27.44008561,1,Coolest
0019327AR,434024.375,4583722.098,41.4023343,2.2107082,Celtis australis,27.46513648,1,Coolest
0019329AR,433999.157,4584085.319,41.4056037,2.2103669,Celtis australis,28.06898107,2,Cool
0019330AR,434071.637,4584061.008,41.4053907,2.2112366,Celtis australis,27.96362487,2,Cool
0019335AR,434118.077,4584013.008,41.4049622,2.2117974,Celtis australis,27.76538284,1,Coolest
0019339AR,433904.696,4583973.649,41.4045901,2.2092491,Celtis australis,28.46114213,2,Cool
0019341AR,434055.278,4584138.758,41.4060896,2.2110325,Celtis australis,27.91678491,2,Cool
0019343AR,434583.461,4584444.985,41.4088909,2.217318,Celtis australis,24.30244399,1,Coolest
0019347AR,434329.767,4583988.626,41.4047599,2.2143325,Celtis australis,27.04219277,1,Coolest
0019350AR,433837.113,4583536.129,41.400644,2.2084884,Celtis australis,28.02961695,2,Cool
0019352AR,434093.438,4584160.118,41.4062851,2.2114866,Celtis australis,27.74999666,1,Coolest
0019356AR,434508.01,4584368.215,41.4081933,2.2164237,Celtis australis,26.91697999,1,Coolest
0019357AR,433836.433,4583557.139,41.4008331,2.208478,Celtis australis,27.88303717,2,Cool
0019358AR,434238.956,4583888.787,41.4038532,2.213257,Celtis australis,27.51138566,1,Coolest
0019360AR,434073.205,4583695.467,41.4020985,2.2112952,Celtis australis,28.07782607,2,Cool
0019361AR,434061.295,4583683.868,41.401993,2.211154,Celtis australis,28.11147471,2,Cool
0019364AR,433989.917,4584075.979,41.4055188,2.2102574,Celtis australis,28.18000568,2,Cool
0019369AR,434361.787,4583978.436,41.4046707,2.2147166,Celtis australis,27.37102086,1,Coolest
0019370AR,433932.888,4584420.226,41.4086147,2.2095376,Celtis australis,27.34555772,1,Coolest
0019375AR,433917.645,4583986.257,41.4047048,2.2094026,Celtis australis,28.47306448,2,Cool
0019377AR,434102.233,4583838.731,41.4033912,2.2116268,Celtis australis,26.93611441,1,Coolest
0019378AR,434414.271,4584496.506,41.4093411,2.2152883,Celtis australis,28.03912511,2,Cool
0019388AR,434345.097,4583973.016,41.4046205,2.2145175,Celtis australis,27.32518787,1,Coolest
0019394AR,433998.005,4583749.398,41.402578,2.2103898,Celtis australis,27.15146267,1,Coolest
0019402AR,434103.328,4584169.758,41.4063728,2.2116039,Celtis australis,27.67994695,1,Coolest
0019404AR,433921.633,4583990.255,41.4047411,2.2094499,Celtis australis,28.46696103,2,Cool
0019405AR,434292.96700000006,4584025.926,41.4050928,2.2138882,Celtis australis,26.77458401,1,Coolest
0019406AR,433971.564,4583605.518,41.40128,2.2100892,Celtis australis,28.19791307,2,Cool
0019407AR,434166.578,4584176.688,41.4064404,2.2123598,Celtis australis,27.36283966,1,Coolest
0019410AR,434141.678,4584179.728,41.4064657,2.2120616,Celtis australis,27.43822375,1,Coolest
0019411AR,434210.748,4584132.297,41.4060442,2.212893,Celtis australis,27.32584353,1,Coolest
0019414AR,434110.166,4583846.147,41.4034586,2.2117209,Celtis australis,26.93502397,1,Coolest
0019423AR,434314.057,4584004.576,41.4049023,2.2141428,Celtis australis,26.86523054,1,Coolest
0019425AR,434233.506,4583893.927,41.4038991,2.2131912,Celtis australis,27.38517223,1,Coolest
0019431AR,434047.319,4584275.309,41.4073188,2.2109224,Celtis australis,27.72033185,1,Coolest
0019432AR,433976.635,4584232.336,41.406926,2.2100814,Celtis australis,27.80312709,2,Cool
0019435AR,434123.237,4584007.678,41.4049146,2.2118597,Celtis australis,27.71547243,1,Coolest
0019437AR,433648.249,4584320.262,41.4076909,2.2061433,Celtis australis,26.78995673,1,Coolest
0019441AR,434076.639,4584246.528,41.407062,2.2112763,Celtis australis,27.59657143,1,Coolest
0019446AR,433919.244,4583659.289,41.40176,2.2094574,Celtis australis,27.47180758,1,Coolest
0019451AR,434172.888,4584170.347,41.4063838,2.212436,Celtis australis,27.35174506,1,Coolest
0019454AR,434083.805,4583684.547,41.402001,2.2114232,Celtis australis,28.30249368,2,Cool
0019459AR,434095.148,4584178.318,41.4064492,2.2115051,Celtis australis,27.68077387,1,Coolest
0019463AR,434205.527,4583939.997,41.4043117,2.2128515,Celtis australis,27.04803655,1,Coolest
0019466AR,434116.499,4584228.128,41.4068996,2.2117551,Celtis australis,27.41128129,1,Coolest
0019468AR,434507.02,4584376.445,41.4082673,2.2164109,Celtis australis,27.01466597,1,Coolest
0019469AR,434096.106,4583843.778,41.4034361,2.211553,Celtis australis,26.89001171,1,Coolest
0019475AR,433873.183,4583519.639,41.4004984,2.2089217,Celtis australis,28.390709,2,Cool
0019482AR,434128.397,4584002.338,41.4048669,2.211922,Celtis australis,27.64918341,1,Coolest
0019483AR,433825.953,4583567.879,41.400929,2.2083515,Celtis australis,27.79623917,2,Cool
0019486AR,434361.367,4583956.396,41.4044722,2.214714,Celtis australis,27.80696591,2,Cool
0019487AR,434098.849,4584223.808,41.4068592,2.2115444,Celtis australis,27.52107457,1,Coolest
0019495AR,433820.723,4583573.259,41.400977,2.2082883,Celtis australis,27.73402515,1,Coolest
0019497AR,434081.957,4584050.348,41.4052955,2.2113612,Celtis australis,27.96840198,2,Cool
0019498AR,434418.701,4584492.166,41.4093024,2.2153418,Celtis australis,28.00829441,2,Cool
0019501AR,433878.493,4583514.309,41.4004508,2.2089858,Celtis australis,28.48743436,2,Cool
0019509AR,433867.983,4583524.869,41.4005451,2.2088589,Celtis australis,28.30299723,2,Cool
0019512AR,434109.868,4584192.578,41.4065788,2.2116797,Celtis australis,27.55691644,1,Coolest
0019524AR,433916.134,4583645.239,41.4016332,2.2094218,Celtis australis,27.53263442,1,Coolest
0019541AR,433861.298,4584116.18,41.4058703,2.2087143,Celtis australis,28.08750626,2,Cool
0019553AR,434143.207,4584004.927,41.4048914,2.2120989,Celtis australis,27.58108181,1,Coolest
0019555AR,434262.136,4584083.44,41.4056083,2.2135131,Celtis australis,26.87160023,1,Coolest
0019557AR,434155.816,4583799.157,41.4030391,2.2122721,Celtis australis,27.60637184,1,Coolest
0019558AR,434104.739,4584239.888,41.4070045,2.2116131,Celtis australis,27.46655414,1,Coolest
0019560AR,434056.015,4583689.328,41.4020418,2.2110902,Celtis australis,27.97586286,2,Cool
0019563AR,434442.771,4584441.806,41.4088508,2.2156352,Celtis australis,27.2957767,1,Coolest
0019569AR,434243.786,4583883.676,41.4038076,2.2133153,Celtis australis,27.57280375,1,Coolest
0019573AR,433976.814,4583600.158,41.4012321,2.2101525,Celtis australis,28.3418501,2,Cool
0019578AR,433945.324,4583632.408,41.40152,2.2097723,Celtis australis,27.76155909,1,Coolest
0019581AR,434309.608,4584031.546,41.4051448,2.2140866,Celtis australis,26.66471196,1,Coolest
0019582AR,434065.5189999999,4584257.448,41.4071595,2.211142,Celtis australis,27.65381288,1,Coolest
0019585AR,434148.575,4583790.077,41.4029568,2.2121865,Celtis australis,27.61934642,1,Coolest
0019586AR,433968.134,4583591.718,41.4011554,2.2100496,Celtis australis,28.3638995,2,Cool
0019590AR,434222.751,4584468.988,41.4090776,2.213,Celtis australis,26.74517741,1,Coolest
0019592AR,433998.257,4584067.599,41.405444,2.2103581,Celtis australis,28.20420248,2,Cool
0019593AR,434711.493,4584663.464,41.4108691,2.2188261,Celtis australis,23.83201016,1,Coolest
0019606AR,434133.557,4583997.007,41.4048193,2.2119843,Celtis australis,27.56526278,1,Coolest
0019609AR,434226.367,4583918.307,41.4041181,2.2131031,Celtis australis,27.18294845,1,Coolest
0019611AR,434071.349,4584273.748,41.4073067,2.21121,Celtis australis,27.63005785,1,Coolest
0019613AR,434431.091,4584479.296,41.4091875,2.2154914,Celtis australis,27.89660644,2,Cool
0019621AR,434178.18500000006,4583776.407,41.4028361,2.2125422,Celtis australis,28.11252739,2,Cool
0019622AR,434308.647,4584009.936,41.4049501,2.2140775,Celtis australis,26.82422032,1,Coolest
0019626AR,433627.314,4584324.558,41.4077278,2.2058924,Celtis australis,26.63225339,1,Coolest
0019631AR,434066.565,4583678.408,41.4019443,2.2112176,Celtis australis,28.24137988,2,Cool
0019634AR,434194.577,4583950.877,41.4044088,2.2127193,Celtis australis,27.09496726,1,Coolest
0019635AR,434040.195,4583705.708,41.402188,2.2108992,Celtis australis,27.71056387,1,Coolest
0019637AR,434009.635,4583760.998,41.4026835,2.2105276,Celtis australis,27.08558761,1,Coolest
0019656AR,433842.543,4583529.269,41.4005826,2.2085541,Celtis australis,28.09244067,2,Cool
0019657AR,434106.487,4584042.458,41.4052265,2.2116556,Celtis australis,27.8827049,2,Cool
0019663AR,434098.368,4584164.668,41.4063265,2.2115451,Celtis australis,27.72341719,1,Coolest
0019666AR,434164.205,4583773.977,41.402813,2.2123752,Celtis australis,27.99714055,2,Cool
0019667AR,434245.788,4584099.427,41.405751,2.2133158,Celtis australis,27.03724628,1,Coolest
0019673AR,434220.8769999999,4583923.907,41.4041681,2.2130369,Celtis australis,27.12461668,1,Coolest
0019694AR,433976.933,4584046.073,41.4052484,2.2101053,Celtis australis,28.31217712,2,Cool
0019696AR,433862.583,4583530.309,41.4005936,2.2087937,Celtis australis,28.21524834,2,Cool
0019697AR,434108.248,4584174.548,41.4064163,2.2116622,Celtis australis,27.6314368,1,Coolest
0019698AR,434435.241,4584474.996,41.4091491,2.2155415,Celtis australis,27.91305559,2,Cool
0019713AR,433685.459,4584322.711,41.407716,2.2065882,Celtis australis,26.89106628,1,Coolest
0019714AR,434493.441,4584390.215,41.4083902,2.216247,Celtis australis,27.19687631,1,Coolest
0019715AR,434122.379,4584222.248,41.4068471,2.2118261,Celtis australis,27.43271657,1,Coolest
0019718AR,434061.317,4584071.678,41.4054859,2.211112,Celtis australis,27.99613529,2,Cool
0019719AR,434083.7579999999,4584150.278,41.4061957,2.2113719,Celtis australis,27.80819676,2,Cool
0019720AR,434212.417,4583915.557,41.4040922,2.2129366,Celtis australis,27.12405989,1,Coolest
0019726AR,433634.209,4584335.232,41.4078245,2.2059737,Celtis australis,26.57998805,1,Coolest
0019731AR,434298.557,4584020.736,41.4050465,2.2139556,Celtis australis,26.80630401,1,Coolest
0019732AR,434278.24,4584066.764,41.4054594,2.2137076,Celtis australis,26.69451001,1,Coolest
0019734AR,434080.247,4584069.268,41.4054658,2.2113387,Celtis australis,27.93043838,2,Cool
0019737AR,433924.434,4583653.949,41.4017123,2.2095201,Celtis australis,27.51425838,1,Coolest
0019740AR,434256.436,4583887.126,41.4038397,2.2134662,Celtis australis,27.66802563,1,Coolest
0019741AR,433896.437,4584065.929,41.4054206,2.2091402,Celtis australis,28.24597284,2,Cool
0019747AR,434116.977,4584031.738,41.4051308,2.2117822,Celtis australis,27.84169485,2,Cool
0019748AR,434067.905,4583700.928,41.4021472,2.2112312,Celtis australis,27.94842188,2,Cool
0019750AR,434014.096,4584082.399,41.4055786,2.2105459,Celtis australis,28.07219112,2,Cool
0019753AR,434372.257,4583967.266,41.404571,2.2148431,Celtis australis,27.58135332,1,Coolest
0019756AR,434059.318,4584126.178,41.4059766,2.2110822,Celtis australis,27.92552402,2,Cool
0019764AR,433779.159,4584377.381,41.4082161,2.2077031,Celtis australis,27.07513481,1,Coolest
0019766AR,434132.717,4584015.648,41.4049871,2.2119723,Celtis australis,27.69488442,1,Coolest
0019780AR,434437.4110000001,4584447.486,41.4089015,2.2155705,Celtis australis,27.36234179,1,Coolest
0019782AR,433667.586,4584299.126,41.4075021,2.2063769,Celtis australis,27.03325663,1,Coolest
