codi,LST_zone,SOS,POS,EOS,GSL
0019520AR,1,62.006003001500744,173.80190095047524,328.5392696348174,266.53326663331666
0019612AR,1,65.3376688344172,99.57978989494748,229.69984992496245,164.36218109054525
0019804AR,1,58.489244622311155,122.5312656328164,244.13706853426712,185.64782391195595
0020134AR,1,62.561280640320156,95.87793896948475,245.98799399699845,183.4267133566783
0020725AR,1,71.63081540770385,149.55477738869433,293.92696348174087,222.29614807403703
0020744AR,1,58.119059529764876,157.8839419709855,295.9629814907454,237.8439219609805
0023198AR,4,87.91895947973987,137.1535767883942,290.040020010005,202.1210605302651
0023199AR,4,72.9264632316158,147.8889444722361,300.0350175087544,227.10855427713858
0023206AR,4,60.89544772386192,140.48524262131065,329.83491745872936,268.93946973486743
0023240AR,4,61.45072536268133,158.25412706353174,303.55177588794396,242.10105052526262
0023260AR,1,73.29664832416208,127.52876438219108,253.57678839419705,180.28014007003497
0023261AR,4,81.81090545272636,149.18459229614805,351.86093046523257,270.05002501250624
0023446AR,4,54.23211605802901,146.77838919459728,336.6833416708354,282.45122561280635
0023524AR,4,65.89294647323662,137.89394697348675,321.320660330165,255.4277138569284
0023542AR,1,70.8904452226113,133.63681840920458,340.3851925962981,269.4947473736868
0023555AR,4,74.22211105552776,151.22061030515258,320.2101050525262,245.98799399699845
0023568AR,1,69.77988994497248,163.991995997999,339.2746373186593,269.49474737368683
0023597AR,1,76.07303651825913,144.3721860930465,340.7553776888444,264.6823411705853
0023726AR,1,71.26063031515757,177.68884442221108,332.79639819909954,261.53576788394196
0023739AR,4,72.74137068534267,142.52126063031514,351.12056028014007,278.37918959479737
0023898AR,1,72.74137068534267,146.59329664832416,340.200100050025,267.4587293646823
0024013AR,1,73.48174087043522,138.44922461230615,338.53426713356674,265.05252626313154
0024054AR,1,67.00350175087543,135.11755877938967,334.46223111555776,267.4587293646823
0024115AR,4,64.96748374187092,137.7088544272136,315.0275137568784,250.0600300150075
0024214AR,4,72.74137068534267,152.33116558279139,356.488244122061,283.7468734367184
0024321AR,4,72.74137068534267,147.3336668334167,310.2151075537769,237.4737368684342
