codi,x_etrs89,y_etrs89,latitud,longitud,cat_nom_ci,Mean_LST,LST_zone,LST_zone_label
0003763AR,431710.114,4584143.78,41.405939,2.1829769,Styphnolobium japonicum,28.97036495,3,Warm
0003764AR,431701.302,4584135.115,41.4058602,2.1828724,Styphnolobium japonicum,28.98535499,3,Warm
0003768AR,431696.56,4584130.113,41.4058148,2.1828163,Styphnolobium japonicum,28.98339095,3,Warm
0003769AR,431705.587,4584139.465,41.4058998,2.1829232,Styphnolobium japonicum,28.92458277,3,Warm
0019520AR,434379.137,4583974.176,41.4046338,2.2149246,Styphnolobium japonicum,27.51214321,1,Coolest
0019612AR,433825.469,4584309.77,41.407611,2.2082646,Styphnolobium japonicum,26.78393484,1,Coolest
0019804AR,433803.058,4584248.72,41.4070593,2.2080031,Styphnolobium japonicum,26.95531086,1,Coolest
0020134AR,433836.579,4584322.16,41.4077235,2.2083961,Styphnolobium japonicum,26.79643619,1,Coolest
0020725AR,434324.178,4584141.036,41.4061321,2.2142491,Styphnolobium japonicum,25.97810611,1,Coolest
0020744AR,434333.298,4584149.936,41.406213,2.2143572,Styphnolobium japonicum,25.82847526,1,Coolest
0023198AR,433793.421,4584633.171,41.4105211,2.2078458,Styphnolobium japonicum,30.99838139,4,Hottest
0023199AR,433802.081,4584641.651,41.4105982,2.2079485,Styphnolobium japonicum,31.10266892,4,Hottest
0023206AR,433829.672,4584651.901,41.4106928,2.2082774,Styphnolobium japonicum,31.22925669,4,Hottest
0023240AR,433823.00000000006,4584662.0,41.4107832,2.2081965,Styphnolobium japonicum,31.31257945,4,Hottest
0023260AR,433157.0,4584906.0,41.4129257,2.2002016,Styphnolobium japonicum,26.90680322,1,Coolest
0023261AR,433810.0,4584633.0,41.410521,2.2080441,Styphnolobium japonicum,31.00890688,4,Hottest
0023280AR,432836.466,4584385.3,41.4082092,2.1964245,Styphnolobium japonicum,29.56421813,3,Warm
0023282AR,432967.793,4584233.674,41.4068545,2.1980124,Styphnolobium japonicum,28.07677066,2,Cool
0023446AR,433824.821,4584647.261,41.4106506,2.2082199,Styphnolobium japonicum,31.19373393,4,Hottest
0023524AR,433815.00000000006,4584654.0,41.4107105,2.2081017,Styphnolobium japonicum,31.23252163,4,Hottest
0023542AR,433005.242,4584860.357,41.412502,2.198391,Styphnolobium japonicum,27.63291326,1,Coolest
0023555AR,433784.76100000006,4584624.691,41.410444,2.2077431,Styphnolobium japonicum,30.90861157,4,Hottest
0023568AR,433029.242,4584880.567,41.412686,2.1986759,Styphnolobium japonicum,27.4344595,1,Coolest
0023597AR,433586.397,4585414.764,41.4175436,2.2052832,Styphnolobium japonicum,27.43878097,1,Coolest
0023726AR,433033.172,4584880.327,41.4126842,2.198723,Styphnolobium japonicum,27.39114517,1,Coolest
0023739AR,433786.671,4584610.341,41.410315,2.2077675,Styphnolobium japonicum,30.73342032,4,Hottest
0023753AR,432951.237,4584268.537,41.4071672,2.1978105,Styphnolobium japonicum,28.30884292,2,Cool
0023775AR,432982.437,4584236.587,41.406882,2.1981873,Styphnolobium japonicum,27.95001028,2,Cool
0023829AR,432947.1979999999,4584254.273,41.4070384,2.1977637,Styphnolobium japonicum,28.36085918,2,Cool
0023837AR,432832.288,4584371.078,41.4080808,2.1963761,Styphnolobium japonicum,29.74660639,3,Warm
0023898AR,433586.9170000001,4585421.734,41.4176065,2.2052886,Styphnolobium japonicum,27.33103186,1,Coolest
0023942AR,432953.636,4584247.033,41.4069737,2.1978416,Styphnolobium japonicum,28.26296939,2,Cool
0023987AR,433431.00000000006,4585174.0,41.4153623,2.2034503,Styphnolobium japonicum,28.16942828,2,Cool
0024013AR,433006.352,4584856.447,41.4124669,2.1984047,Styphnolobium japonicum,27.60459582,1,Coolest
0024022AR,433436.0,4585193.0,41.4155338,2.2035081,Styphnolobium japonicum,27.94450753,2,Cool
0024054AR,433588.717,4585428.534,41.4176679,2.2053094,Styphnolobium japonicum,27.28178602,1,Coolest
0024115AR,433810.0,4584650.0,41.4106741,2.2080423,Styphnolobium japonicum,31.19400537,4,Hottest
0024146AR,432888.899,4584331.884,41.4077325,2.1970577,Styphnolobium japonicum,29.2472143,3,Warm
0024214AR,433805.0,4584628.0,41.4104755,2.2079849,Styphnolobium japonicum,30.94737418,4,Hottest
0024233AR,432928.293,4584273.622,41.4072111,2.1975354,Styphnolobium japonicum,28.59911325,2,Cool
0024277AR,432977.28,4584218.388,41.4067177,2.1981276,Styphnolobium japonicum,28.00179133,2,Cool
0024321AR,433797.751,4584637.411,41.4105597,2.2078971,Styphnolobium japonicum,31.05939171,4,Hottest
0024339AR,432826.172,4584377.558,41.4081386,2.1963022,Styphnolobium japonicum,29.74228968,3,Warm
0024359AR,433432.0,4585181.0,41.4154254,2.2034615,Styphnolobium japonicum,28.06679756,2,Cool
0024367AR,432829.658,4584391.91,41.4082682,2.1963423,Styphnolobium japonicum,29.57629547,3,Warm
0024426AR,433797.0,4584620.0,41.4104028,2.20789,Styphnolobium japonicum,30.86465744,4,Hottest
0024440AR,433789.0,4584628.0,41.4104742,2.2077934,Styphnolobium japonicum,30.95248607,4,Hottest
0024489AR,433594.267,4585418.954,41.417582,2.2053769,Styphnolobium japonicum,27.39149109,1,Coolest
0024503AR,432850.5229999999,4584371.243,41.4080838,2.1965942,Styphnolobium japonicum,29.56694887,3,Warm
0024516AR,433815.131,4584637.981,41.4105662,2.208105,Styphnolobium japonicum,31.05744005,4,Hottest
0024552AR,432999.667,4584233.626,41.4068568,2.1983937,Styphnolobium japonicum,27.85002345,2,Cool
0024726AR,433434.0,4585185.0,41.4154616,2.203485,Styphnolobium japonicum,27.97378867,2,Cool
0024800AR,432858.388,4584345.065,41.4078487,2.1966912,Styphnolobium japonicum,29.68752996,3,Warm
0024811AR,432972.943,4584228.137,41.4068051,2.1980746,Styphnolobium japonicum,28.05761804,2,Cool
