Species,Metric,Zone 1 (Median [IQR]),Zone 4 (Median [IQR]),U statistic,p-value,Significance
(a) $\it{Platanus\ \times\ hispanica}$,SOS,55.10 (49.62–58.75),55.10 (52.06–58.14),3415868.5,<0.001,***
(a) $\it{Platanus\ \times\ hispanica}$,POS,103.50 (97.11–113.24),98.94 (93.15–107.92),4424091.5,<0.001,***
(a) $\it{Platanus\ \times\ hispanica}$,EOS,300.77 (281.28–333.64),312.64 (289.96–344.91),3057998.5,<0.001,***
(a) $\it{Platanus\ \times\ hispanica}$,GSL,249.02 (230.75–277.63),258.15 (237.45–287.68),3132120.0,<0.001,***
(b) $\it{Celtis\ australis}$,SOS,65.52 (53.49–70.52),60.53 (47.57–67.19),1223507.5,<0.001,***
(b) $\it{Celtis\ australis}$,POS,118.46 (106.06–133.50),108.65 (94.95–134.93),1196952.5,<0.001,***
(b) $\it{Celtis\ australis}$,EOS,304.38 (277.27–339.55),332.24 (314.24–354.64),665077.5,<0.001,***
(b) $\it{Celtis\ australis}$,GSL,246.73 (217.44–278.38),273.75 (255.80–296.52),620851.0,<0.001,***
(c) $\it{Styphnolobium\ japonicum}$,SOS,69.22 (59.78–79.03),70.34 (60.90–77.00),245429.5,0.9661,ns
(c) $\it{Styphnolobium\ japonicum}$,POS,147.98 (134.61–173.25),142.71 (125.68–171.12),272359.5,<0.001,***
(c) $\it{Styphnolobium\ japonicum}$,EOS,314.10 (290.13–339.23),337.05 (307.58–357.41),176919.0,<0.001,***
(c) $\it{Styphnolobium\ japonicum}$,GSL,248.76 (222.48–270.37),265.61 (242.29–287.54),179792.5,<0.001,***
