codi,LST_zone,SOS,POS,EOS,GSL
0019317AR,1,51.142618849040865,120.24603836530441,289.80817347789826,238.6655546288574
0019319AR,1,57.23102585487906,100.45871559633028,298.0275229357798,240.79649708090076
0019346AR,1,62.40617180984153,108.67806505421184,289.80817347789826,227.40200166805673
0019380AR,1,70.6255212677231,121.15929941618013,259.9749791492911,189.34945788156796
0019384AR,1,50.83819849874895,128.16096747289407,271.84737281067555,221.00917431192659
0019391AR,1,60.88407005838198,106.54712260216847,282.5020850708924,221.61801501251043
0019397AR,1,60.27522935779816,173.51959966638864,358.91159299416177,298.6363636363636
0019415AR,1,45.35863219349458,113.24437030859049,277.93577981651373,232.57714762301916
0019419AR,1,69.40783986655546,115.37531276063386,365.0,295.5921601334445
0019422AR,1,41.40116763969974,123.89908256880733,266.3678065054212,224.96663886572145
0019461AR,1,52.0558798999166,101.98081734778982,293.15679733110926,241.10091743119267
0019471AR,1,56.31776480400334,142.16430358632195,234.09924937447872,177.78148457047538
0019546AR,1,58.4487072560467,160.1251042535446,302.28940783986656,243.84070058381985
0019580AR,1,62.710592160133444,112.93994995829857,327.86071726438695,265.1501251042535
0019595AR,1,52.3603002502085,121.76814011676396,284.3286071726439,231.9683069224354
0019600AR,1,54.18682235195996,93.76146788990826,365.0,310.81317764804004
0019614AR,1,38.05254378648874,145.81734778982485,284.93744787322765,246.8849040867389
0019648AR,1,60.579649708090066,161.03836530442035,346.7347789824854,286.15512927439534
0019654AR,1,48.402835696413675,117.50625521267723,276.1092577147623,227.70642201834863
0019659AR,1,43.83653044203503,117.20183486238531,309.8999165971643,266.06338615512925
0019674AR,1,45.35863219349458,122.07256046705588,312.33527939949954,266.97664720600494
0019678AR,1,52.0558798999166,92.54378648874062,319.94578815679733,267.88990825688074
0019682AR,1,59.05754795663052,128.16096747289407,233.7948290241868,174.7372810675563
0019700AR,1,0.0,114.15763135946622,268.49874895746456,268.49874895746456
0019742AR,1,61.4929107589658,112.33110925771476,267.8899082568807,206.3969974979149
0019744AR,1,23.440366972477065,155.25437864887405,210.65888240200167,187.2185154295246
0019749AR,1,27.39783152627189,113.24437030859049,262.10592160133444,234.70809007506256
0019760AR,1,5.479566305254378,120.24603836530441,277.02251876563804,271.5429524603837
0019805AR,1,48.09841534612176,112.33110925771476,263.628023352794,215.52960800667225
0019832AR,1,67.27689741451209,115.98415346121769,354.34528773978315,287.068390325271
0019833AR,1,49.011676396997494,120.55045871559632,284.93744787322765,235.92577147623015
0019841AR,1,63.62385321100917,103.50291909924937,281.8932443703086,218.26939115929943
0019846AR,1,49.62051709758132,111.1134278565471,271.84737281067555,222.22685571309424
0019864AR,1,52.0558798999166,108.67806505421184,357.08507089241033,305.02919099249374
0019886AR,1,59.05754795663052,115.07089241034194,290.4170141784821,231.35946622185156
0019891AR,1,55.70892410341951,118.41951626355295,303.5070892410342,247.79816513761466
0019920AR,1,52.96914095079233,91.9349457881568,282.5020850708924,229.53294412010007
0019924AR,1,56.622185154295245,119.3327773144287,365.0,308.37781484570473
