codi,x_etrs89,y_etrs89,latitud,longitud,cat_nom_ci,Mean_LST,LST_zone,LST_zone_label
0003798AR,429269.45,4581891.852,41.3854457,2.1540427,Platanus × acerifolia,28.64983596,3,Warm
0003799AR,429274.634,4581886.181,41.3853951,2.1541054,Platanus × acerifolia,28.63244188,3,Warm
0003800AR,429280.497,4581880.385,41.3853434,2.1541761,Platanus × acerifolia,28.66453095,3,Warm
0017853AR,434051.88099999994,4584492.099,41.4092718,2.2109533,Platanus × acerifolia,27.95344145,2,Cool
0018050AR,434109.811,4584522.388,41.4095493,2.2116431,Platanus × acerifolia,27.26161628,2,Cool
0019301AR,433999.862,4584632.619,41.4105331,2.2103156,Platanus × acerifolia,28.67509402,3,Warm
0019302AR,433856.21,4584457.1,41.4089405,2.2086162,Platanus × acerifolia,27.5522297,2,Cool
0019303AR,434029.432,4584661.349,41.4107943,2.2106663,Platanus × acerifolia,28.30123247,2,Cool
0019308AR,433707.797,4584072.001,41.4054598,2.2068829,Platanus × acerifolia,27.29523357,2,Cool
0019309AR,433964.209,4584244.569,41.4070351,2.2099314,Platanus × acerifolia,27.75735302,2,Cool
0019316AR,433788.66,4584419.701,41.4085981,2.2078122,Platanus × acerifolia,27.34141399,2,Cool
0019317AR,433842.25,4584407.55,41.408493,2.2084546,Platanus × acerifolia,27.08946273,1,Coolest
0019319AR,433741.129,4584375.791,41.4081987,2.2072484,Platanus × acerifolia,27.09670819,1,Coolest
0019331AR,433822.29,4584455.031,41.408919,2.2082106,Platanus × acerifolia,27.68533443,2,Cool
0019333AR,433894.511,4584529.0,41.4095912,2.2090666,Platanus × acerifolia,28.67685858,3,Warm
0019336AR,434004.2420000001,4584636.619,41.4105695,2.2103676,Platanus × acerifolia,28.59335621,3,Warm
0019342AR,434245.761,4584537.867,41.4096999,2.2132678,Platanus × acerifolia,27.77493064,2,Cool
0019344AR,434430.092,4584602.606,41.410298,2.2154661,Platanus × acerifolia,28.58460553,3,Warm
0019346AR,433576.859,4584322.032,41.4077009,2.205289,Platanus × acerifolia,26.42393531,1,Coolest
0019363AR,434479.772,4584618.586,41.410446,2.2160587,Platanus × acerifolia,28.39998072,2,Cool
0019372AR,434011.22,4584462.759,41.4090042,2.2104701,Platanus × acerifolia,27.9956678,2,Cool
0019373AR,434080.0,4584711.0,41.4112457,2.2112659,Platanus × acerifolia,28.44642035,2,Cool
0019374AR,434072.709,4584323.638,41.4077562,2.2112208,Platanus × acerifolia,27.57864668,2,Cool
0019376AR,434171.472,4584627.158,41.410498,2.2123694,Platanus × acerifolia,27.54303885,2,Cool
0019380AR,433679.259,4584334.591,41.4078225,2.2065127,Platanus × acerifolia,26.8629415,1,Coolest
0019381AR,433827.01,4584459.511,41.4089598,2.2082666,Platanus × acerifolia,27.70782965,2,Cool
0019382AR,434226.111,4584531.738,41.4096431,2.2130334,Platanus × acerifolia,27.4763035,2,Cool
0019384AR,433855.0900000001,4584411.62,41.4085308,2.2086078,Platanus × acerifolia,27.16257823,1,Coolest
0019386AR,433951.65,4584487.61,41.4092231,2.2097547,Platanus × acerifolia,27.89981951,2,Cool
0019387AR,434281.562,4584602.717,41.4102869,2.2136891,Platanus × acerifolia,28.17779632,2,Cool
0019391AR,433777.129,4584382.231,41.4082596,2.2076783,Platanus × acerifolia,27.08123897,1,Coolest
0019396AR,434276.002,4584611.243,41.4103632,2.2136217,Platanus × acerifolia,28.08591309,2,Cool
0019397AR,433677.129,4584314.081,41.4076376,2.2064895,Platanus × acerifolia,26.91478589,1,Coolest
0019399AR,433985.571,4584497.999,41.4093195,2.2101594,Platanus × acerifolia,27.82467467,2,Cool
0019401AR,433907.00000000006,4584541.0,41.4097003,2.2092147,Platanus × acerifolia,28.74613781,3,Warm
0019409AR,433580.231,4584205.383,41.4066506,2.2053422,Platanus × acerifolia,27.69662736,2,Cool
0019415AR,433703.819,4584363.041,41.4080808,2.2068034,Platanus × acerifolia,27.00700471,1,Coolest
0019419AR,433671.138,4584326.29,41.4077471,2.2064164,Platanus × acerifolia,26.85528334,1,Coolest
0019422AR,434205.381,4584453.298,41.4089349,2.2127939,Platanus × acerifolia,26.67276562,1,Coolest
0019424AR,433949.35,4584458.45,41.4089603,2.2097304,Platanus × acerifolia,27.67932273,2,Cool
0019427AR,433590.948,4584188.752,41.4065017,2.2054722,Platanus × acerifolia,27.81979578,2,Cool
0019428AR,434201.221,4584540.478,41.4097198,2.2127347,Platanus × acerifolia,27.40580879,2,Cool
0019430AR,433895.808,4584173.02,41.4063851,2.209121,Platanus × acerifolia,27.819367,2,Cool
0019438AR,434004.97,4584460.389,41.4089823,2.2103956,Platanus × acerifolia,27.95852344,2,Cool
0019442AR,434070.432,4584644.439,41.4106454,2.2111586,Platanus × acerifolia,27.7438297,2,Cool
0019452AR,433969.349,4584249.579,41.4070807,2.2099924,Platanus × acerifolia,27.74548314,2,Cool
0019453AR,434280.032,4584565.407,41.4099507,2.2136748,Platanus × acerifolia,28.10667952,2,Cool
0019456AR,434015.375,4584303.985,41.4075745,2.2105371,Platanus × acerifolia,27.70881059,2,Cool
